posicion_tiro,xg,cantidad_tiros,probabilidad_parada
Penalty,0.768809849521204,731,0.231190150478796
breakthrough,0.754170324846356,1139,0.245829675153644
centre 6m,0.714932126696833,1105,0.285067873303167
centre 9m,0.394849785407725,1864,0.605150214592275
empty goal,0.768472906403941,203,0.231527093596059
fast break,0.7682570593963,1027,0.2317429406037
left 6m,0.706806282722513,382,0.293193717277487
left 9m,0.423076923076923,572,0.576923076923077
left wing,0.617378048780488,656,0.382621951219512
right 6m,0.689567430025445,393,0.310432569974555
right 9m,0.4048,625,0.5952
right wing,0.619565217391304,644,0.380434782608696
